name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass
San Juan 047,52384,Valid,H5,14.1,Found,2009.0,-25.443,-69.863667,1.1492191434564059
Yamato 82147,29341,Valid,L6,25.81,Found,1982.0,-71.5,35.66667,1.411788021370466
Yamato 790469,25818,Valid,H5,23.31,Found,1979.0,-71.5,35.66667,1.3675422921518283
Yamato 74575,24953,Valid,H6,6.48,Found,1974.0,0.0,35.66667,0.8115750728913416
El Médano 141,56706,Valid,L6,752.0,Found,2011.0,-24.85,-70.53333,2.8762178411691615
Queen Alexandra Range 99862,22306,Valid,LL5,23.9,Found,1999.0,-84.0,168.0,1.3783979191194544
Queen Alexandra Range 93458,19546,Valid,H5,4.5,Found,1993.0,-84.0,168.0,0.6532126102852178
Yamato 86118,29624,Valid,H4,2.35,Found,1986.0,-71.5,35.66667,0.3710680470778595
Allan Hills 84133,735,Valid,H5,70.5,Found,1984.0,-76.90232,156.83867,1.848189123151604
Miller Range 090305,53417,Valid,LL6,1.1,Found,2009.0,0.0,0.0,0.04139307997121095
Queen Alexandra Range 97759,21215,Valid,LL5,25.9,Found,1997.0,-84.0,168.0,1.4132997808493784
Asuka 880793,3502,Valid,H3.6,67.01,Found,1988.0,-72.0,26.0,1.8261396244169545
Dhofar 611,7368,Valid,H4,99.0,Found,2001.0,19.13892,54.88143,1.9956351989843628
Yamato 75167,25208,Valid,L6,5.66,Found,1975.0,-71.5,35.66667,0.7528165079187386
Jiddat al Harasis 260,35577,Valid,H5,175.02,Found,2005.0,19.9905,56.40063,2.2430876819867756
Dominion Range 08225,54024,Valid,LL6,21.7,Found,2008.0,0.0,0.0,1.3364597538620997
Grove Mountains 021629,49846,Valid,H4,1.31,Found,2003.0,-72.7925,75.29194,0.11727162717814298
Queen Alexandra Range 97048,20455,Valid,L5,128.9,Found,1997.0,-84.0,168.0,2.1102529207226386
Colville Lake 001,5412,Valid,H5,56.2,Found,1986.0,-29.6,126.50667,1.749736323296721
Northwest Africa 6484,52845,Valid,Lodranite,688.0,Found,2010.0,0.0,0.0,2.8375884388667534
Asuka 881665,4374,Valid,LL4,20.89,Found,1988.0,-72.0,26.0,1.3199384607698956
Grove Mountains 022225,49960,Valid,L6,6.46,Found,2003.0,-72.77833,75.32083,0.8102325852233269
Grove Mountains 022066,49941,Valid,L6,1.29,Found,2003.0,-72.77861,75.31528,0.11059004696150752
Grove Mountains 051652,46943,Valid,L5,13.33,Found,2006.0,-72.77944,75.32389,1.1248301819940891
Yamato 82129,29323,Valid,H6,6.0,Found,1982.0,-71.5,35.66667,0.7781513227660513
Yamato 793475,28824,Valid,H6,4.83,Found,1979.0,-71.5,35.66667,0.6839472206675447
Miller Range 07047,51109,Valid,L6,733.2,Found,2007.0,0.0,0.0,2.8652224568825067
Dhofar 862,7608,Valid,H5,50.0,Found,2002.0,19.16,54.58667,1.6989700130219083
MacAlpine Hills 02686,14983,Valid,L5,0.18,Found,2002.0,-84.21667,160.5,-0.7447250821562743
Dhofar 331,7114,Valid,H5,946.0,Found,2000.0,18.14167,54.08667,2.975891136860878
Yamato 790275,25624,Valid,H4,46.23,Found,1979.0,-71.5,35.66667,1.6649239028322949
Grove Mountains 051721,48222,Valid,L5,7.22,Found,2006.0,-72.994444,75.216667,0.8585372577212252
Yamato 74073,24451,Valid,H5,29.9,Found,1974.0,-71.81583,36.425,1.4756712028493284
Acfer 053,63,Valid,H6,1937.0,Found,1989.0,27.73333,4.05,3.2871296209433205
Yamato 790083,25432,Valid,H4,5.54,Found,1979.0,-71.5,35.66667,0.7435098431209285
Frontier Mountain 97020,10750,Valid,H6,6.0,Found,1997.0,-72.95167,160.45917,0.7781513227660513
Frontier Mountain 10019,54802,Valid,H4,4.3,Found,2011.0,-72.9523,160.5038,0.6334685565782915
Dominion Range 08505,53179,Valid,L6,42.4,Found,2008.0,0.0,0.0,1.6273658668355269
Elephant Moraine 83212,7854,Valid,Eucrite-pmict,402.1,Found,1983.0,-76.2875,157.23861,2.604334074182977
San Juan 057,54442,Valid,L6,263.0,Found,2010.0,-25.449,-69.8815,2.419955750141068
Lewis Cliff 86304,13236,Valid,H5,4.2,Found,1986.0,-84.27386,161.68661,0.6232493938013363
Yamato 793580,28929,Valid,H6,37.82,Found,1979.0,-71.5,35.66667,1.577721535992217
Meteorite Hills 00805,16039,Valid,H6,46.5,Found,2000.0,-79.68333,155.75,1.6674529622296201
Northwest Africa 266,17672,Valid,H5,940.0,Found,1999.0,30.33333,-5.83333,2.973127854061714
Thiel Mountains 07007,51708,Valid,CV3,18.0,Found,2007.0,-85.15633,-94.614,1.2552725292307767
Miller Range 07654,53328,Valid,EH3,2.0,Found,2007.0,0.0,0.0,0.3010302128111679
Yamato 981321,37943,Valid,H4,12.73,Found,1998.0,0.0,0.0,1.1048284377694815
Northwest Africa 7148,54900,Valid,LL5,3099.0,Found,2011.0,0.0,0.0,3.491221576379423
Frontier Mountain 01016,10200,Valid,H3,1.6,Found,2001.0,-72.98917,160.40583,0.20412025408989115
Elephant Moraine 87852,8402,Valid,L6,3.8,Found,1987.0,-76.03736,156.10856,0.5797837109048167
Asuka 880745,3454,Valid,H3,74.09999999999998,Found,1988.0,-72.0,26.0,1.8698182138402522
Elephant Moraine 90499,8908,Valid,L6,104.9,Found,1990.0,-76.27376,156.4391,2.0207754923336387
Tanezrouft 069,23869,Valid,H5,180.0,Found,2002.0,25.28333,0.1,2.2552725075160533
Grove Mountains 052582,48342,Valid,L6,0.82,Found,2006.0,-72.778333,75.3025,-0.0861856179891893
Yamato 791173,26522,Valid,H4,5.41,Found,1979.0,-71.5,35.66667,0.7331973453828063
Queen Alexandra Range 94261,19898,Valid,L6,0.7,Found,1994.0,-84.0,168.0,-0.1549013395654979
Yamato 86004,29510,Valid,EH-imp melt,62.78,Found,1986.0,-71.5,35.66667,1.797821318281744
Miller Range 07401,53207,Valid,CO3,1.6,Found,2007.0,0.0,0.0,0.20412025408989115
Allan Hills 84099,701,Valid,H5,150.3,Found,1984.0,-76.87679,156.99721,2.1769589834764256
La Yesera 001,12406,Valid,H6,205.0,Found,2003.0,-23.2705,-70.483,2.311753863174264
Miller Range 090109,53343,Valid,LL5,210.2,Found,2009.0,0.0,0.0,2.3226327137583245
Frontier Mountain 90038,10436,Valid,H5,3.3,Found,1990.0,-72.95431,160.50142,0.518514071482256
Sayh al Uhaymir 163,23350,Valid,H5,1877.3,Found,2001.0,21.03703,57.32685,3.273533680382638
Miller Range 99300,16656,Valid,H5,2419.8,Found,1999.0,-83.25,157.0,3.3837794725707377
Yamato 82206,29400,Valid,L6,1.55,Found,1982.0,-71.5,35.66667,0.1903319783601894
MacAlpine Hills 87311,15254,Valid,H4,312.8,Found,1987.0,-84.21667,160.5,2.49526674577622
Queen Alexandra Range 93626,19713,Valid,L5,2.9,Found,1993.0,-84.0,168.0,0.4623981476556482
Asuka 881019,3728,Valid,L6,40.21,Found,1988.0,-72.0,26.0,1.6043340839035696
Acfer 048,58,Valid,H4-5,115.0,Found,1989.0,27.55,4.08333,2.0606978441300856
Larkman Nunatak 06818,49690,Valid,H6,71.2,Found,2006.0,0.0,0.0,1.852479999736498
Grove Mountains 021992,47898,Valid,CV3,1.1,Found,2003.0,-72.775278,75.346667,0.04139307997121095
Anthony Gap,56391,Valid,L6,347.36,Found,2011.0,32.00584,-106.56028,2.5407798073606167
Allan Hills A77172,1484,Valid,H4,6.42,Found,1977.0,-76.71667,159.66667,0.8075350957159636
Frontier Mountain 01168,10350,Valid,H5,4.0,Found,2001.0,-72.95167,160.52139,0.6020600999015693
Yamato 75225,25266,Valid,L6,1.81,Found,1975.0,-71.5,35.66667,0.25767881481082094
Yamato 793437,28786,Valid,H5,78.87,Found,1979.0,-71.5,35.66667,1.896911846332485
Frontier Mountain 10015,54800,Valid,H4,3.5,Found,2011.0,-72.95215,160.50155,0.5440681684343955
Little Harquahala Mountains,53484,Valid,H-melt rock,262.2,Found,2006.0,33.69177,-113.63612,2.4186326890104137
Dar al Gani 431,5979,Valid,CK3-an,353.0,Found,1998.0,27.31283,16.232,2.5477747066181187
El Médano 126,56691,Valid,H5,584.0,Found,2011.0,-24.85,-70.53333,2.7664128478560546
Yamato 983923,40543,Valid,H5,7.7,Found,1998.0,0.0,0.0,0.886490781574359
Asuka 881239,3948,Valid,Diogenite,42.35,Found,1988.0,-72.0,26.0,1.626853424921613
Allan Hills A79014,1889,Valid,H5,10.8,Found,1979.0,-76.71667,159.66667,1.0334237956994
Yamato 792731,28080,Valid,L6,8.61,Found,1979.0,-71.5,35.66667,0.9350032018943581
Elephant Moraine 96144,9736,Valid,LL6,3.0,Found,1996.0,-76.18333,157.16667,0.47712139948446564
Yamato 8303,29408,Valid,H5,3.57,Found,1983.0,-71.5,35.66667,0.5526683377632915
Yamato 86443,29949,Valid,H4,1.92,Found,1986.0,-71.5,35.66667,0.2833014548985333
Dhofar 757,7503,Valid,H5,471.0,Found,2000.0,18.85383,54.647,2.6730209080509653
Miller Range 07579,53271,Valid,L5,9.6,Found,2007.0,0.0,0.0,0.9822712782785745
United Arab Emirates 014,51037,Valid,L6,95.0,Found,2009.0,22.86906,55.15189,1.9777236098603685
Pecora Escarpment 91318,18609,Valid,L5,111.5,Found,1991.0,-85.6763,-69.08507,2.047274871279197
Grove Mountains 050020,46412,Valid,L3,2.16,Found,2006.0,-73.10667,75.17306,0.33445395221314456
Frontier Mountain 01153,10335,Valid,H3,6.7,Found,2001.0,-72.98833,160.40139,0.8260748675208935
Northwest Africa 5422,49139,Valid,H4,880.0,Found,2008.0,0.0,0.0,2.944482672643685
Frontier Mountain 97036,10765,Valid,H5,1.0,Found,1997.0,-72.98944,160.4125,4.342942647204277e-07
Yamato 81124,29185,Valid,H5,10790.0,Found,1981.0,-71.5,35.66667,4.03302144472316
Pecora Escarpment 91032,18323,Valid,L5,426.6,Found,1991.0,-85.69123,-69.05888,2.6300208521314468
El Médano 119,56665,Valid,H5,23.3,Found,2010.0,-24.85,-70.53333,1.3673559396652668
Asuka 87182,2539,Valid,H4,11.16,Found,1987.0,-72.0,26.0,1.0476642335168342
Grove Mountains 050024,48151,Valid,L3,1.51,Found,2006.0,-73.100278,75.2,0.17897723490531384
Allan Hills 86608,1033,Valid,L6,9.8,Found,1986.0,-76.73058,159.41622,0.991226120008256
Hammadah al Hamra 233,11716,Valid,H5,123.0,Found,1997.0,29.087,12.07783,2.0899051149702474
Northwest Africa 2604,33125,Valid,H6,6.9,Found,2004.0,0.0,0.0,0.83884915367848
Allan Hills A81200,2160,Valid,H4,9.5,Found,1981.0,-76.6825,159.33,0.9777236510040539
El Médano 040,54836,Valid,H6,3.6,Found,2010.0,-24.85,-70.53333,0.5563026214046267
Yamato 983505,40127,Valid,H4,42.53,Found,1998.0,0.0,0.0,1.6286953929255088
Yamato 983162,39784,Valid,H6,5.06,Found,1998.0,0.0,0.0,0.7041506026687396
Frontier Mountain 90212,10602,Valid,L6/7,3.7,Found,1990.0,-72.95551,160.43643,0.5682018414438661
Yamato 983075,39697,Valid,L6,3.69,Found,1998.0,0.0,0.0,0.567026483854026
Lewis Cliff 88260,14011,Valid,H6,6.4,Found,1988.0,-84.24183,161.45447,0.8061800418423947
Yamato 793274,28623,Valid,Lunar (bas/anor),8.66,Found,1979.0,-71.5,35.66667,0.9375179421668219
Queen Alexandra Range 97426,20882,Valid,LL5,36.3,Found,1997.0,-84.0,168.0,1.5599066370001475
