name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass,is_outlier
Doyleville,7727,Valid,H5,112.0,Found,1887.0,38.41667,-106.58333,2.049218026547811,0
Dresden (Kansas),7730,Valid,H5,6760.0,Found,1953.0,39.61667,-100.46306,3.8299466960058806,0
Drum Mountains,7733,Valid,"Iron, IIIAB",529000.0,Found,1944.0,39.5,-112.9,5.723455672036007,0
Duchesne,7737,Valid,"Iron, IVA",22700.0,Found,1906.0,40.38333,-110.86667,4.356025857212255,0
Duel Hill (1854),7738,Valid,"Iron, IVA",21800.0,Found,1854.0,35.85,-82.7,4.338456493624527,0
Duel Hill (1873),7739,Valid,"Iron, IAB-MG",11300.0,Found,1873.0,35.85,-82.7,4.053078443521853,0
Duketon,7740,Valid,"Iron, IIIAB",118300.0,Found,1948.0,-27.5,122.36667,5.072984744631602,0
Dumas (a),7741,Valid,H5,46050.0,Found,1956.0,35.9,-101.9,4.663229634542299,0
Duncanville,7744,Valid,H,17800.0,Found,1961.0,32.63333,-96.86667,4.250420002333293,0
Dungannon,7747,Valid,"Iron, IAB-MG",13000.0,Found,1922.0,36.85,-82.45,4.113943352340244,0
Dwight,7756,Valid,L6,4100.0,Found,1940.0,38.85,-96.58333,3.612783856825661,0
Eagle Station,7761,Valid,"Pallasite, PES",36000.0,Found,1880.0,38.61667,-84.96667,4.556302500779351,0
Edjudina,7766,Valid,H4,4480.0,Found,1969.0,-29.58639,122.18167,3.6512780140950847,0
Edmonson (a),7768,Valid,L6,12000.0,Found,1955.0,34.28333,-101.83333,4.079181246083816,0
Edmonton (Canada),7770,Valid,"Iron, IIAB",7340.0,Found,1939.0,53.66667,-113.41667,3.865696059975239,0
Edmonton (Kentucky),7771,Valid,"Iron, IAB-sLM",10200.0,Found,1942.0,37.03333,-85.63333,4.0086001718044955,0
Efremovka,7772,Valid,CV3,21000.0,Found,1962.0,52.5,77.0,4.3222192947546,0
Egvekinot,7773,Valid,"Iron, IAB-sLM",10000.0,Found,1970.0,66.8,178.2,4.000000000043429,0
El Burro,7793,Valid,"Iron, IIAB",35900.0,Found,1939.0,29.33333,-101.83333,4.555094448590417,0
El Capitan,7794,Valid,"Iron, IIIAB",27500.0,Found,1893.0,33.5,-105.5,4.4393326938460556,0
El Mirage,7809,Valid,"Iron, IIAB",598.0,Found,1972.0,33.68333,-112.26667,2.7767011847146557,0
El Paso,7812,Valid,LL4,276.0,Found,1950.0,31.78333,-106.23333,2.4409090836387484,0
El Perdido,7813,Valid,H5,30250.0,Found,1905.0,-38.68333,-61.1,4.480725379002845,0
El Qoseir,7815,Valid,"Iron, ungrouped",2405.0,Found,1921.0,26.28333,34.25,3.3811150808904302,0
El Rancho Grande,7816,Valid,Pallasite,40.7,Found,1954.0,37.0,-105.0,1.609594419895846,0
El Sampal,7817,Valid,"Iron, IIIAB",142000.0,Found,1973.0,-44.53333,-70.36667,5.152288344386115,0
El Simbolar,7818,Valid,Iron,40000.0,Found,1938.0,-30.63333,-64.88333,4.60205999133882,0
El Timbu,7820,Valid,Iron,500000.0,Found,1942.0,-33.11667,-60.96667,5.698970004336887,0
Elba,7821,Valid,H5,4175.0,Found,1966.0,39.83333,-103.21667,3.6206564799236434,0
Elga,10012,Valid,"Iron, IIE",28800.0,Found,1959.0,64.7,141.2,4.459392487774311,0
Eli Elwah,10013,Valid,L6,15200.0,Found,1888.0,-34.5,144.71667,4.181843587973344,0
Elida (a),10014,Valid,L6,936.8,Found,1968.0,33.78333,-103.57667,2.9716468825279003,0
Elida (b),10015,Valid,OC,537.8,Found,1968.0,33.91667,-103.51833,2.730620798694822,0
Elida (c),10016,Valid,H5,385.5,Found,1968.0,33.79,-103.56333,2.5860243835135504,0
Elkhart,10017,Valid,H5,573.0,Found,1936.0,37.01667,-101.88333,2.758154622725321,0
Ella Island,10018,Valid,L6,7500.0,Found,1971.0,72.88333,-25.11667,3.8750612634496058,0
Ellerslie,10020,Valid,L5,10200.0,Found,1905.0,-28.9,146.76667,4.0086001718044955,0
Ellicott,10021,Valid,"Iron, IAB-ung",15700.0,Found,1960.0,38.80778,-104.56944,4.195899652436895,0
Ellis County,10022,Valid,H6,4692.0,Found,1948.0,38.78333,-99.33333,3.6713580035360525,0
Ellisras,10023,Valid,Iron,2066.0,Found,1970.0,-23.83333,27.91667,3.315130317393812,0
Elm Creek,10024,Valid,H4,7000.0,Found,1906.0,38.5,-96.2,3.845098040076299,0
El-Oued,47729,Valid,H4,2305.0,Found,1952.0,31.533333,8.883333,3.362670929914081,0
Elsinora,10027,Valid,H5,1797.0,Found,1922.0,-29.45,143.6,3.2545480773506514,0
Elton,10029,Valid,"Iron, ungrouped",1900.0,Found,1936.0,33.71667,-100.83333,3.278753601181405,0
Elyria,10030,Valid,"Iron, IIIAB",10900.0,Found,1971.0,38.28,-97.365,4.0374264979804675,0
Emery,10031,Valid,Mesosiderite-A3,16700.0,Found,1962.0,43.56333,-97.58333,4.222716471173589,0
Emmitsburg,10034,Valid,"Iron, IIIAB?",450.0,Found,1854.0,39.71667,-77.3,2.6532125147404426,0
Emsland,10035,Valid,"Iron, ungrouped",19000.0,Found,1940.0,53.1,7.2,4.278753600975686,0
Enigma,10036,Valid,H4,94.0,Found,1967.0,31.33333,-82.31667,1.9731278582198526,0
Enon,10037,Valid,"Iron, ungrouped",763.0,Found,1883.0,39.86667,-83.95,2.882524538524074,0
Erie,10045,Valid,L6,3300.0,Found,1965.0,40.03167,-105.05667,3.518513940009492,0
Erofeevka,10048,Valid,H4,1771.9,Found,1937.0,51.86667,70.35,3.2484392083866114,0
Esquel,10054,Valid,"Pallasite, PMG",755000.0,Found,1951.0,-42.9,-71.33333,5.877946951629763,0
Estacado,10057,Valid,H6,290000.0,Found,1883.0,33.9,-101.75,5.462397997900454,0
Etosha,10061,Valid,"Iron, IC",110700.0,Found,1970.0,-18.5,16.0,5.044147620882646,0
Etter,10062,Valid,L5,450000.0,Found,1965.0,35.98333,-101.9,5.6532125137763085,0
Euclid,10063,Valid,H5,2500.0,Found,1970.0,47.95833,-96.7,3.3979400088457554,0
Eunice,10064,Valid,H5,2300.0,Found,1961.0,34.47,-101.75833,3.3617278362064167,0
Eustis,10065,Valid,H4,502.0,Found,1918.0,28.83333,-81.68333,2.7007037180101476,0
Eva,10066,Valid,H5,6700.0,Found,1965.0,36.81667,-101.90833,3.8260748027656466,0
Fairburn,56565,Valid,"Iron, IAB-ung",445.0,Found,1907.0,43.603,-103.026,2.6483600119568744,0
Faith,10071,Valid,H5,105000.0,Found,1952.0,45.33333,-102.08333,5.0211892990740745,0
Farley,10073,Valid,H5,19400.0,Found,1936.0,36.33333,-104.05,4.287801729952612,0
Farnum,10076,Valid,L5,4200.0,Found,1937.0,40.25,-100.23333,3.623249290501304,0
Faucett,10077,Valid,H5,100000.0,Found,1966.0,39.61667,-94.86667,5.000000000004343,0
Felt,10083,Valid,H6,5400.0,Found,1970.0,36.55,-102.78333,3.7323937599033936,0
Fenbark,10085,Valid,H5,1861.0,Found,1968.0,-30.44028,121.25694,3.269746373364133,0
Ferguson Switch,10089,Valid,H5,1700.0,Found,1937.0,34.0,-101.5,3.2304489216337413,0
Ferintosh,10090,Valid,OC,2201.0,Found,1965.0,52.8,-112.98333,3.342620042750665,0
Fillmore,10093,Valid,Iron,113.0,Found,1916.0,49.883333,-103.6,2.0530784473267336,0
Finmarken,10103,Valid,"Pallasite, PMG",78300.0,Found,1902.0,70.0,24.0,4.89376176206349,0
Finney,10104,Valid,L5,10700.0,Found,1962.0,34.26667,-101.56667,4.029383777725798,0
Flagg,10108,Valid,L5,7000.0,Found,1954.0,34.43333,-102.51667,3.845098040076299,0
Flagler,30564,Valid,H3.8,4100.0,Found,1972.0,39.23,-102.99,3.612783856825661,0
Fleming,10110,Valid,H3.7,1750.0,Found,1940.0,40.68333,-102.81667,3.2430380489344626,0
Floyd,10113,Valid,L4,13000.0,Found,1966.0,34.19333,-103.575,4.113943352340244,0
Floydada,10114,Valid,"Iron, IIIAB",12500.0,Found,1912.0,33.98333,-101.28333,4.0969100130428,0
Fluvanna (a),10116,Valid,L5,9500.0,Found,1967.0,32.8,-101.11667,3.977723605334563,0
Föllinge,10118,Valid,"Iron, IAB-sLH",400.0,Found,1932.0,63.73333,14.85,2.6020599924136985,0
Forestburg (a),10121,Valid,L4,26100.0,Found,1957.0,33.50667,-97.65139,4.416640507354921,0
Forestburg (b),10122,Valid,L5,26600.0,Found,1957.0,33.49556,-97.58861,4.4248816366473935,0
Forrest 001,10124,Valid,H5,97.7,Found,1967.0,-30.81667,128.21667,1.989894568163957,0
Forrest 003,10126,Valid,H3,74.0,Found,1970.0,-30.9,128.08333,1.8692317255998205,0
Forrest 004,10127,Valid,L6,64.0,Found,1970.0,-30.46667,128.2,1.8061799807697383,0
Forrest 005,10128,Valid,H4,36.0,Found,1970.0,-30.45833,128.21667,1.5563025128310226,0
Forrest Lakes,10161,Valid,LL5,500.0,Found,1948.0,-29.41667,129.5,2.698970005204608,0
Forsyth County,10165,Valid,"Iron, IIAB",22700.0,Found,1891.0,36.1,-80.2,4.356025857212255,0
Fort Pierre,10167,Valid,"Iron, IIIAB",15900.0,Found,1856.0,44.35,-100.38333,4.201397124347766,0
Fort Stockton,10168,Valid,Iron,4762.8,Found,1952.0,30.91667,-103.06667,3.677862345045973,0
Four Corners,10172,Valid,"Iron, IAB-ung",25000.0,Found,1924.0,37.0,-109.05,4.397940008689409,0
Franceville,10173,Valid,"Iron, IIIAB",18800.0,Found,1890.0,38.81667,-104.61667,4.27415784928678,0
Frankfort (iron),10176,Valid,"Iron, IIIAB",10900.0,Found,1866.0,38.2,-84.83333,4.0374264979804675,0
Franklin,10178,Valid,H5,9062.0,Found,1921.0,36.71667,-86.56667,3.957224057891092,0
Franklinville,10179,Valid,L6,108.0,Found,1888.0,38.5,-100.0,2.033423759508195,0
Freda,10180,Valid,"Iron, IAB-sLH",268.0,Found,1919.0,46.38333,-101.23333,2.4281347956492905,0
Fremont Butte,10181,Valid,L4,6647.0,Found,1963.0,38.5,-105.5,3.8226256788394775,0
Frenchman Bay,10182,Valid,H3.5,8800.0,Found,1964.0,-30.60833,115.16667,3.9444826721995203,0
Fukue,10835,Valid,Iron,7.3,Found,1849.0,32.7,128.85,0.8633229196128466,0
Fuling,10837,Valid,Iron,462.0,Found,1960.0,29.7,107.4,2.664641976496157,0
Gahanna,10842,Valid,"Iron, IAB-MG",1201.0,Found,1950.0,40.01667,-82.86667,3.0795430077645167,0
Gail,10843,Valid,H4,4650.0,Found,1948.0,32.7,-101.6,3.667452952983351,0
Galatia,10847,Valid,L6,23900.0,Found,1971.0,38.64167,-98.88333,4.378397900966309,0
Garden Head,10857,Valid,"Iron, IAB-sHH",1296.0,Found,1944.0,49.81667,-108.46,3.1126050018696785,0
Garnett,10862,Valid,H4,4788.0,Found,1938.0,38.26667,-95.25,3.680154141825078,0
Garraf,10863,Valid,L6,8800.0,Found,1905.0,41.26667,1.91667,3.9444826721995203,0
Garrison,10864,Valid,H5,5116.0,Found,1969.0,33.86333,-103.34667,3.708930535891506,0
